Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	1000	1000	1000	1000	1000	1000	1000	15
0	0	0	0	0	0	0	0	32768
1	256	256	256	256	256	256	256	32768
2	512	512	512	512	512	512	512	32768
3	768	768	768	768	768	768	768	32768
4	1025	1025	1025	1025	1025	1025	1025	32768
5	1282	1282	1282	1282	1282	1282	1282	32768
6	1541	1541	1541	1541	1541	1541	1541	32768
7	1802	1802	1802	1802	1802	1802	1802	32768
8	2065	2065	2065	2065	2065	2065	2065	32768
9	2332	2332	2332	2332	2332	2332	2332	32768
10	2602	2602	2602	2602	2602	2602	2602	32768
11	2878	2878	2878	2878	2878	2878	2878	32768
12	3161	3161	3161	3161	3161	3161	3161	32768
13	3450	3450	3450	3450	3450	3450	3450	32768
14	3748	3748	3748	3748	3748	3748	3748	32768
15	4057	4057	4057	4057	4057	4057	4057	32768
16	4377	4377	4377	4377	4377	4377	4377	32768
17	4710	4710	4710	4710	4710	4710	4710	32768
18	5058	5058	5058	5058	5058	5058	5058	32768
19	5423	5423	5423	5423	5423	5423	5423	32768
20	5807	5807	5807	5807	5807	5807	5807	32768
21	6211	6211	6211	6211	6211	6211	6211	32768
22	6638	6638	6638	6638	6638	6638	6638	32768
23	7089	7089	7089	7089	7089	7089	7089	32768
24	7568	7568	7568	7568	7568	7568	7568	32768
25	8077	8077	8077	8077	8077	8077	8077	32768
26	8618	8618	8618	8618	8618	8618	8618	32768
27	9194	9194	9194	9194	9194	9194	9194	32768
28	9807	9807	9807	9807	9807	9807	9807	32768
29	10461	10461	10461	10461	10461	10461	10461	32768
30	11158	11158	11158	11158	11158	11158	11158	32768
31	11902	11902	11902	11902	11902	11902	11902	32768
32	12695	12695	12695	12695	12695	12695	12695	32768
33	13541	13541	13541	13541	13541	13541	13541	32768
34	14443	14443	14443	14443	14443	14443	14443	32768
35	15405	15405	15405	15405	15405	15405	15405	32768
36	16429	16429	16429	16429	16429	16429	16429	32768
37	17521	17521	17521	17521	17521	17521	17521	32768
38	18683	18683	18683	18683	18683	18683	18683	32768
39	19920	19920	19920	19920	19920	19920	19920	32768
40	21235	21235	21235	21235	21235	21235	21235	32768
41	22632	22632	22632	22632	22632	22632	22632	32768
42	24116	24116	24116	24116	24116	24116	24116	32768
43	25691	25691	25691	25691	25691	25691	25691	32768
44	27361	27361	27361	27361	27361	27361	27361	32768
45	29132	29132	29132	29132	29132	29132	29132	32768
46	31006	31006	31006	31006	31006	31006	31006	32768
47	32990	32990	32990	32990	32990	32990	32990	32768
48	35087	35087	35087	35087	35087	35087	35087	32768
49	37303	37303	37303	37303	37303	37303	37303	32768
50	39643	39643	39643	39643	39643	39643	39643	32768
51	42112	42112	42112	42112	42112	42112	42112	32768
52	44715	44715	44715	44715	44715	44715	44715	32768
53	47457	47457	47457	47457	47457	47457	47457	32768
54	50344	50344	50344	50344	50344	50344	50344	32768
55	53381	53381	53381	53381	53381	53381	53381	32768
56	56574	56574	56574	56574	56574	56574	56574	32768
57	59929	59929	59929	59929	59929	59929	59929	32768
58	63451	63451	63451	63451	63451	63451	63451	32768
59	67147	67147	67147	67147	67147	67147	67147	32768
60	71022	71022	71022	71022	71022	71022	71022	32768
61	75083	75083	75083	75083	75083	75083	75083	32768
62	79335	79335	79335	79335	79335	79335	79335	32768
63	83786	83786	83786	83786	83786	83786	83786	32768
64	88441	88441	88441	88441	88441	88441	88441	32768
65	93307	93307	93307	93307	93307	93307	93307	32768
66	98391	98391	98391	98391	98391	98391	98391	32768
67	103700	103700	103700	103700	103700	103700	103700	32768
68	109239	109239	109239	109239	109239	109239	109239	32768
69	115018	115018	115018	115018	115018	115018	115018	32768
70	121041	121041	121041	121041	121041	121041	121041	32768
71	127317	127317	127317	127317	127317	127317	127317	32768
72	133853	133853	133853	133853	133853	133853	133853	32768
73	140656	140656	140656	140656	140656	140656	140656	32768
74	147734	147734	147734	147734	147734	147734	147734	32768
75	155094	155094	155094	155094	155094	155094	155094	32768
76	162744	162744	162744	162744	162744	162744	162744	32768
77	170692	170692	170692	170692	170692	170692	170692	32768
78	178945	178945	178945	178945	178945	178945	178945	32768
79	187512	187512	187512	187512	187512	187512	187512	32768
80	196401	196401	196401	196401	196401	196401	196401	32768
81	205619	205619	205619	205619	205619	205619	205619	32768
82	215175	215175	215175	215175	215175	215175	215175	32768
83	225078	225078	225078	225078	225078	225078	225078	32768
84	235337	235337	235337	235337	235337	235337	235337	32768
85	245958	245958	245958	245958	245958	245958	245958	32768
86	256953	256953	256953	256953	256953	256953	256953	32768
87	268328	268328	268328	268328	268328	268328	268328	32768
88	280093	280093	280093	280093	280093	280093	280093	32768
89	292258	292258	292258	292258	292258	292258	292258	32768
90	304831	304831	304831	304831	304831	304831	304831	32768
91	317821	317821	317821	317821	317821	317821	317821	32768
92	331238	331238	331238	331238	331238	331238	331238	32768
93	345092	345092	345092	345092	345092	345092	345092	32768
94	359391	359391	359391	359391	359391	359391	359391	32768
95	374145	374145	374145	374145	374145	374145	374145	32768
96	389365	389365	389365	389365	389365	389365	389365	32768
97	405060	405060	405060	405060	405060	405060	405060	32768
98	421239	421239	421239	421239	421239	421239	421239	32768
99	437914	437914	437914	437914	437914	437914	437914	32768
100	455094	455094	455094	455094	455094	455094	455094	32768
101	472789	472789	472789	472789	472789	472789	472789	32731
102	491010	491010	491010	491010	491010	491010	491010	32695
103	509767	509767	509767	509767	509767	509767	509767	32658
104	529071	529071	529071	529071	529071	529071	529071	32622
105	548932	548932	548932	548932	548932	548932	548932	32585
106	569362	569362	569362	569362	569362	569362	569362	32549
107	590371	590371	590371	590371	590371	590371	590371	32513
108	611969	611969	611969	611969	611969	611969	611969	32476
109	634169	634169	634169	634169	634169	634169	634169	32440
110	656982	656982	656982	656982	656982	656982	656982	32403
111	680417	680417	680417	680417	680417	680417	680417	32367
112	704488	704488	704488	704488	704488	704488	704488	32331
113	729206	729206	729206	729206	729206	729206	729206	32294
114	754581	754581	754581	754581	754581	754581	754581	32258
115	780627	780627	780627	780627	780627	780627	780627	32221
116	807354	807354	807354	807354	807354	807354	807354	32185
117	834774	834774	834774	834774	834774	834774	834774	32149
118	862900	862900	862900	862900	862900	862900	862900	32112
119	891744	891744	891744	891744	891744	891744	891744	32076
120	921318	921318	921318	921318	921318	921318	921318	32039
121	951633	951633	951633	951633	951633	951633	951633	32003
122	982704	982704	982704	982704	982704	982704	982704	31967
123	1014541	1014541	1014541	1014541	1014541	1014541	1014541	31930
124	1047158	1047158	1047158	1047158	1047158	1047158	1047158	31894
125	1080568	1080568	1080568	1080568	1080568	1080568	1080568	31857
126	1114783	1114783	1114783	1114783	1114783	1114783	1114783	31821
127	1149816	1149816	1149816	1149816	1149816	1149816	1149816	31784
128	1185680	1185680	1185680	1185680	1185680	1185680	1185680	31748
129	1222389	1222389	1222389	1222389	1222389	1222389	1222389	31712
130	1259956	1259956	1259956	1259956	1259956	1259956	1259956	31675
131	1298393	1298393	1298393	1298393	1298393	1298393	1298393	31639
