class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	16	14	352	608	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Sorceress	320	640	0	441	16	14	352	608	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Necromancer	320	640	0	441	16	14	352	608	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Paladin	320	640	0	441	16	14	352	608	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Barbarian	320	640	0	441	16	14	352	608	145	370	16	16	403	432	34	93	31	61	463	493	47	92	32	45	528	558	34	93	31	61	466	496	9	39	30	30	504	520	24	40	16	15	442	458	102	118	16	15	504	520	102	118	16	15	465	496	102	117	30	15	528	558	104	134	30	30	404	434	104	134	30	30
Monster	0	321	0	442	16	16	8	263	63	318	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	16	7	34	290	39	150	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	16	7	34	290	255	366	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	16	16	32	287	3	258	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
